country_code,state_province,city,latitude,longitude,maturity_segment,fast_station_share,median_power_kw,has_fast_dc,has_ultra_dc,dc_fast_station_count,dc_ultra_station_count,station_count,port_count
ES,Alicante,Alcocer de Planes,38.795416,-0.401217,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
ES,Alicante,Alcoi,38.696992,-0.474931,Emerging EV Infrastructure,0.0,16.5,0,0,0,0,4,6
ES,Alicante,Alcoy,38.69626766666666,-0.4846163333333333,Developing EV Infrastructure,0.6666666666666666,50.0,1,0,2,0,3,6
ES,Alicante,Alicante,38.3640951,-0.4622824,Emerging EV Infrastructure,0.2,22.0,1,1,2,1,10,33
ES,Alicante,BENIDORM,38.536329,-0.11595,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
ES,Alicante,Benejúzar,38.080245,-0.835015,Developing EV Infrastructure,1.0,100.0,1,0,1,0,1,2
ES,Alicante,Benidorm,38.54065,-0.138333,Emerging EV Infrastructure,0.0,14.5,0,0,0,0,2,2
ES,Alicante,Denia,38.845643,0.114436,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
ES,Alicante,Elche,38.259512,-0.723282,Mature Fast-Charging Hub,1.0,200.0,1,1,1,1,1,1
ES,Alicante,Elda,38.488145,-0.789532,Developing EV Infrastructure,1.0,60.0,1,0,1,0,1,2
ES,Alicante,Finestrat,38.536469,-0.179439,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,4
ES,Alicante,Gata de Gorgos,38.775141,0.085907,Emerging EV Infrastructure,0.0,7.0,0,0,0,0,1,1
ES,Alicante,Ibi,38.61324366666667,-0.5892893333333333,Developing EV Infrastructure,0.6666666666666666,50.0,1,1,2,1,3,9
ES,Alicante,Javea,38.798836,0.18683,Developing EV Infrastructure,1.0,60.0,1,0,1,0,1,1
ES,Alicante,Mutxamel,38.403349,-0.459332,Developing EV Infrastructure,1.0,100.0,1,0,1,0,1,2
ES,Alicante,Ondara,38.8202135,0.0233304999999999,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,6
ES,Alicante,Orihuela,37.92799,-0.736479,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
ES,Alicante,Pedreguer,38.8129,0.02968,Emerging EV Infrastructure,0.0,4.0,0,0,0,0,1,1
